,A,A+,A-,AA,AA+,AA-,AAA,B,B+,B-,BB,BB+,BB-,BBB,BBB+,BBB-,C,CC,CCC,CCC+,CCC-,DEFAULT,MATURE
A,0.967,0.007,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.018
A+,0.065,0.886,0.001,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.039
A-,0.025,0.001,0.893,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.045
AA,0.000,0.000,0.000,0.941,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.046
AA+,0.000,0.000,0.000,0.035,0.760,0.003,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.142
AA-,0.026,0.037,0.000,0.003,0.000,0.874,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060
AAA,0.000,0.000,0.000,0.000,0.000,0.000,0.908,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.092
B,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.653,0.091,0.088,0.016,0.002,0.024,0.000,0.000,0.000,0.001,0.003,0.023,0.028,0.005,0.001,0.065
B+,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.087,0.702,0.028,0.022,0.000,0.097,0.000,0.000,0.000,0.001,0.000,0.002,0.002,0.007,0.000,0.053
B-,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.109,0.029,0.673,0.016,0.000,0.004,0.000,0.000,0.000,0.009,0.008,0.049,0.042,0.009,0.000,0.051
BB,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.015,0.000,0.754,0.073,0.081,0.001,0.000,0.008,0.000,0.000,0.000,0.001,0.000,0.000,0.062
BB+,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.060,0.800,0.013,0.004,0.000,0.072,0.002,0.000,0.000,0.000,0.000,0.000,0.044
BB-,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.048,0.004,0.078,0.017,0.768,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.000,0.001,0.062
BBB,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.881,0.034,0.036,0.000,0.002,0.000,0.000,0.000,0.000,0.043
BBB+,0.006,0.000,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.028,0.901,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.035
BBB-,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.003,0.032,0.001,0.058,0.002,0.865,0.000,0.000,0.000,0.000,0.000,0.000,0.036
C,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.713,0.077,0.000,0.000,0.012,0.090,0.100
CC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.175,0.572,0.070,0.000,0.105,0.011,0.056
CCC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.002,0.085,0.000,0.000,0.000,0.000,0.000,0.000,0.039,0.048,0.658,0.075,0.031,0.002,0.050
CCC+,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.057,0.000,0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.017,0.029,0.768,0.017,0.000,0.034
CCC-,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.138,0.065,0.014,0.022,0.435,0.246,0.072
DEFAULT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
MATURE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
